¿Qué significa HTML?,Hyperlink Text Makeup Language,Home Tool Markup Language,[#T]HyperText Markup Language,HyperText Makeup Language
¿Cómo se establece un marcador dentro de una página HTML?,div,[#T]<a name="marcador"></a>,<p id="marcador"></p>,href
¿Qué etiqueta se usa para incrustar video en HTML?,media,[#T]video,embed,object
¿Qué etiqueta se usa para incrustar audio en HTML?,audio,[#T]audio,embed,sound
¿Qué atributo se usa para reproducir automáticamente un video en HTML?,muted,[#T]autoplay,loop,controls
¿Qué etiqueta define un área navegable dentro de una imagen?,map,[#T]area,img,link
¿Qué atributo define las coordenadas de un área en una imagen?,coords,[#T]coords,href,alt
¿Qué etiqueta define un menú desplegable en HTML?,list,[#T]select,menu,dropdown
¿Qué etiqueta se usa para definir una lista de términos y definiciones?,dl,[#T]dl,dt,dd,ul
¿Qué etiqueta define la definición de un término en una lista?,dt,dl,[#T]dd,li
¿Qué etiqueta define un encabezado de grupo en HTML5?,section,[#T]header,article,hgroup
¿Qué etiqueta se usa para definir contenido independiente y autónomo?,section,[#T]article,aside,main
¿Qué etiqueta define un contenido tangencial al principal?,div,[#T]aside,article,section
¿Qué etiqueta se usa para incrustar un documento en otro documento HTML?,embed,[#T]iframe,object,media
¿Qué atributo define si un campo de formulario es obligatorio?,required,[#T]required,disabled,checked
¿Cómo se define un campo de entrada de correo electrónico en un formulario?,text,[#T]email,url,number
¿Qué atributo especifica el tamaño máximo de caracteres en un campo de texto?,size,[#T]maxlength,limit,chars
¿Qué atributo se usa para predefinir el valor de un campo de texto?,text,[#T]value,default,placeholder
¿Qué atributo indica que un campo no es modificable?,readonly,[#T]readonly,disabled,checked
¿Cómo se define un campo de entrada numérica en un formulario?,text,[#T]number,value,range
¿Qué etiqueta define una barra de progreso en HTML5?,meter,[#T]progress,value,bar
¿Qué etiqueta define un medidor o una escala en HTML5?,range,[#T]meter,progress,scale
¿Qué atributo define un cuadro de entrada como deshabilitado?,disable,[#T]disabled,readonly,checked
¿Qué etiqueta se usa para agrupar campos de un formulario?,form,[#T]fieldset,group,section
¿Cómo se indica el texto de sugerencia en un campo de entrada?,suggest,[#T]placeholder,tip,value
¿Qué etiqueta define un enlace navegable dentro de un documento?,map,[#T]nav,a,href
¿Qué atributo especifica que un enlace debe descargarse como archivo?,target,[#T]download,href,save
¿Qué etiqueta define una tabla de contenidos en HTML5?,footer,[#T]nav,menu,aside
¿Qué atributo se usa para especificar varias opciones posibles en un campo de entrada?,multiselect,[#T]multiple,select,option
¿Qué atributo define una lista desplegable asociada a un campo de texto?,dropdown,[#T]datalist,select,option
¿Cómo se define un campo de búsqueda en un formulario?,text,[#T]search,input,find
¿Qué atributo se usa para asociar un campo con un formulario específico?,id,[#T]form,action,name
¿Qué etiqueta se usa para agrupar enlaces relacionados en HTML5?,nav,[#T]nav,menu,section
¿Qué etiqueta define una lista de descripciones?,desc,[#T]dl,dd,dt
¿Qué etiqueta HTML se usa para crear un marco de referencia en una página?,div,[#T]iframe,object,frame
¿Qué etiqueta se usa para crear una celda que abarca varias columnas?,td,[#T]colspan,rowspan,colgroup
¿Cómo se abrevia DOCTYPE en HTML?,type,[#T]<!DOCTYPE html>,doctype="html",doctype
