¿Qué significa CSS?,Computer Style Sheets,Cascading System Sheets,[#T]Cascading Style Sheets,Code Style Sheets
¿Cómo se controla el espacio interno de las celdas de una tabla?,table-margin,[#T]padding,cell-padding,spacing
¿Qué propiedad define el espacio entre las celdas de una tabla?,cell-padding,[#T]border-spacing,table-spacing,cell-spacing
¿Cómo se ajusta el tamaño de una tabla automáticamente según su contenido?,width,[#T]table-layout: auto,auto-table,table-size
¿Qué propiedad establece la separación de columnas en Grid Layout?,column-gap:[#T]grid-column-gap,column-spacing,grid-spacing
¿Cómo se ajusta el tamaño del contenido al tamaño del contenedor?,resize,[#T]object-fit: cover;,scale: 100%,auto-scale
¿Qué propiedad define el espacio entre las líneas de una lista?,line-height:[#T]line-height,list-spacing,spacing-height
¿Cómo se asegura que un elemento quede al frente de otros elementos?,position,[#T]z-index,stack-order,bring-forward
¿Qué propiedad oculta el desbordamiento de contenido en un contenedor?,overflow-visible:[#T]overflow: hidden;,hide-overflow,overflow-none
¿Cómo se asegura que un contenedor tenga un desplazamiento vertical?,scrollable:[#T]overflow-y: scroll;,scrollbar-y,vertical-scroll
¿Qué propiedad controla la velocidad de desplazamiento en un contenedor?,scroll-speed,[#T]scroll-behavior: smooth;,scroll-timing,overflow-speed
¿Cómo se ajusta el tamaño máximo de un elemento en un contenedor?,max-size:[#T]max-width,max-length,max-height
¿Qué propiedad define el contenido dentro de una celda en Flexbox?,content:[#T]align-content,justify-content,align-items
¿Cómo se define la orientación de un gradiente en CSS?,direction-gradient,[#T]background: linear-gradient(to right);,rotate-gradient,gradient-align
¿Qué propiedad permite que un texto fluya alrededor de un elemento flotante?,position-type,[#T]float,text-flow,wrap
¿Cómo se configura el espacio entre una imagen y el texto que la rodea?,image-padding,[#T]margin,image-spacing,padding
¿Qué propiedad permite que un texto se ajuste a varias líneas?,wrap-text,[#T]word-wrap,line-wrap,text-wrap
¿Cómo se divide un texto en columnas?,text-columns,[#T]column-count,column-split,columns
¿Qué propiedad establece la distancia entre columnas en un diseño?,grid-columns:[#T]column-gap,column-space,column-padding
¿Cómo se establece el orden de los elementos en Flexbox?,order-items,[#T]order,order-align,align-order
¿Qué propiedad controla la transición de opacidad en un elemento?,fade,[#T]transition: opacity duration;,opacity-timing,fade-opacity
¿Cómo se asegura que un texto quede truncado si es muy largo?,truncate-text,[#T]text-overflow: ellipsis;,overflow-truncate,clip-text
¿Qué propiedad define la dirección de escritura del texto?,writing-type,[#T]writing-mode,text-direction,text-flow
¿Cómo se ajusta el color de un borde en un elemento?,border-style,[#T]border-color,outline-color,border-width
¿Qué propiedad controla la visibilidad de un borde superior?,top-border:[#T]border-top,border-style,border-visibility
¿Cómo se establece el contenido de un pseudo-elemento?,content,[#T]content: '';,pseudo-content,before-content
¿Qué propiedad define la estructura de un diseño en CSS Grid?,grid-template-type:[#T]grid-template,grid-columns,grid-template-structure
¿Cómo se distribuyen los elementos en filas en Flexbox?,flex-row:[#T]flex-direction: row;,row-align,flex-align
¿Qué propiedad establece el ancho de las columnas en un diseño de Grid?,grid-size,[#T]grid-template-columns,grid-template-rows,column-width
¿Cómo se establece la animación de un pseudo-elemento?,before-animation,[#T]animation: name duration;,pseudo-animation,content-animation
¿Qué propiedad define la fuente predeterminada en una página web?,text-font,[#T]font-family,font-type,font-default
¿Cómo se aplica una animación de escala a un elemento en hover?,hover-scale:[#T]transform: scale(1.2);,scale-hover,scale-zoom
¿Qué propiedad define el desplazamiento entre filas en Grid Layout?,row-spacing:[#T]grid-row-gap,row-gap,grid-spacing
¿Cómo se establece la posición fija de un elemento?,static:[#T]position: fixed,position: absolute,absolute-fixed
¿Qué propiedad permite que un elemento mantenga su tamaño original al hacer zoom?,zoom-type:[#T]zoom,transform: scale(1),zoom-origin
